date,date_depot_count,date_publication_count
2019-05-06,1.0,0.0
2019-05-07,0.0,0.0
2019-05-08,0.0,0.0
2019-05-09,0.0,0.0
2019-05-10,0.0,0.0
2019-05-11,0.0,0.0
2019-05-12,0.0,0.0
2019-05-13,0.0,0.0
2019-05-14,0.0,0.0
2019-05-15,0.0,0.0
2019-05-16,0.0,0.0
2019-05-17,0.0,0.0
2019-05-18,0.0,0.0
2019-05-19,0.0,0.0
2019-05-20,0.0,0.0
2019-05-21,0.0,0.0
2019-05-22,1.0,0.0
2019-05-23,0.0,0.0
2019-05-24,0.0,0.0
2019-05-25,2.0,0.0
2019-05-26,0.0,0.0
2019-05-27,0.0,0.0
2019-05-28,0.0,0.0
2019-05-29,2.0,0.0
2019-05-30,1.0,0.0
2019-05-31,2.0,0.0
2019-06-01,0.0,0.0
2019-06-02,0.0,0.0
2019-06-03,0.0,0.0
2019-06-04,1.0,0.0
2019-06-05,0.0,0.0
2019-06-06,6.0,0.0
2019-06-07,0.0,0.0
2019-06-08,1.0,0.0
2019-06-09,3.0,0.0
2019-06-10,0.0,0.0
2019-06-11,2.0,0.0
2019-06-12,2.0,0.0
2019-06-13,2.0,0.0
2019-06-14,0.0,0.0
2019-06-15,0.0,0.0
2019-06-16,1.0,0.0
2019-06-17,0.0,0.0
2019-06-18,2.0,0.0
2019-06-19,3.0,0.0
2019-06-20,0.0,0.0
2019-06-21,0.0,0.0
2019-06-22,0.0,0.0
2019-06-23,1.0,0.0
2019-06-24,0.0,0.0
2019-06-25,0.0,0.0
2019-06-26,0.0,0.0
2019-06-27,0.0,0.0
2019-06-28,0.0,0.0
2019-06-29,1.0,0.0
2019-06-30,0.0,0.0
2019-07-01,0.0,0.0
2019-07-02,0.0,0.0
2019-07-03,0.0,0.0
2019-07-04,1.0,0.0
2019-07-05,0.0,0.0
2019-07-06,0.0,0.0
2019-07-07,2.0,0.0
2019-07-08,2.0,0.0
2019-07-09,2.0,0.0
2019-07-10,1.0,0.0
2019-07-11,0.0,0.0
2019-07-12,4.0,0.0
2019-07-13,0.0,0.0
2019-07-14,0.0,0.0
2019-07-15,2.0,0.0
